,latitude,longitude
122,37.0,-120.0
123,37.0,-120.0
124,37.0,-120.0
125,37.0,-120.0
126,37.0,-120.0
127,37.0,-120.0
128,37.0,-120.0
129,37.0,-120.0
130,37.0,-120.0
131,37.0,-120.0
132,37.0,-120.0
133,37.0,-120.0
134,37.0,-120.0
135,37.0,-120.0
136,37.0,-120.0
137,37.0,-120.0
138,37.0,-120.0
139,37.0,-120.0
140,37.0,-120.0
141,37.0,-120.0
142,37.0,-120.0
143,37.0,-120.0
144,37.0,-120.0
145,37.0,-120.0
146,37.0,-120.0
147,37.0,-120.0
148,37.0,-120.0
149,37.0,-120.0
150,37.0,-120.0
151,37.0,-120.0
152,37.0,-120.0
153,37.0,-120.0
154,37.0,-120.0
155,37.0,-120.0
156,37.0,-120.0
157,37.0,-120.0
158,37.0,-120.0
159,37.0,-120.0
160,37.0,-120.0
161,37.0,-120.0
162,37.0,-120.0
163,37.0,-120.0
164,37.0,-120.0
165,37.0,-120.0
166,37.0,-120.0
167,37.0,-120.0
168,37.0,-120.0
169,37.0,-120.0
170,37.0,-120.0
171,37.0,-120.0
172,37.0,-120.0
173,37.0,-120.0
174,37.0,-120.0
175,37.0,-120.0
176,37.0,-120.0
177,37.0,-120.0
178,37.0,-120.0
179,37.0,-120.0
180,37.0,-120.0
181,37.0,-120.0
182,37.0,-120.0
183,37.0,-120.0
184,37.0,-120.0
185,37.0,-120.0
186,37.0,-120.0
187,37.0,-120.0
188,37.0,-120.0
189,37.0,-120.0
190,37.0,-120.0
191,37.0,-120.0
192,37.0,-120.0
193,37.0,-120.0
194,37.0,-120.0
195,37.0,-120.0
196,37.0,-120.0
197,37.0,-120.0
198,37.0,-120.0
199,37.0,-120.0
200,37.0,-120.0
201,37.0,-120.0
202,37.0,-120.0
203,37.0,-120.0
204,37.0,-120.0
205,37.0,-120.0
206,37.0,-120.0
207,37.0,-120.0
208,37.0,-120.0
209,37.0,-120.0
210,37.0,-120.0
211,37.0,-120.0
212,37.0,-120.0
213,37.0,-120.0
214,37.0,-120.0
215,37.0,-120.0
216,37.0,-120.0
217,37.0,-120.0
218,37.0,-120.0
219,37.0,-120.0
220,37.0,-120.0
221,37.0,-120.0
222,37.0,-120.0
223,37.0,-120.0
224,37.0,-120.0
225,37.0,-120.0
226,37.0,-120.0
227,37.0,-120.0
228,37.0,-120.0
229,37.0,-120.0
230,37.0,-120.0
231,37.0,-120.0
232,37.0,-120.0
233,37.0,-120.0
234,37.0,-120.0
235,37.0,-120.0
236,37.0,-120.0
237,37.0,-120.0
238,37.0,-120.0
239,37.0,-120.0
240,37.0,-120.0
241,37.0,-120.0
242,37.0,-120.0
243,37.0,-120.0
244,37.0,-120.0
245,37.0,-120.0
246,37.0,-120.0
247,37.0,-120.0
248,37.0,-120.0
249,37.0,-120.0
250,37.0,-120.0
251,37.0,-120.0
252,37.0,-120.0
253,37.0,-120.0
254,37.0,-120.0
255,37.0,-120.0
256,37.0,-120.0
257,37.0,-120.0
258,37.0,-120.0
259,37.0,-120.0
260,37.0,-120.0
261,37.0,-120.0
262,37.0,-120.0
263,37.0,-120.0
264,37.0,-120.0
265,37.0,-120.0
266,37.0,-120.0
267,37.0,-120.0
268,37.0,-120.0
269,37.0,-120.0
270,37.0,-120.0
271,37.0,-120.0
272,37.0,-120.0
273,37.0,-120.0
274,37.0,-120.0
275,37.0,-120.0
276,37.0,-120.0
277,37.0,-120.0
278,37.0,-120.0
279,37.0,-120.0
280,37.0,-120.0
281,37.0,-120.0
282,37.0,-120.0
283,37.0,-120.0
284,37.0,-120.0
285,37.0,-120.0
286,37.0,-120.0
287,37.0,-120.0
288,37.0,-120.0
289,37.0,-120.0
290,37.0,-120.0
291,37.0,-120.0
292,37.0,-120.0
293,37.0,-120.0
294,37.0,-120.0
295,37.65,-121.91
296,37.65,-121.91
297,37.65,-121.91
298,37.65,-121.91
299,37.65,-121.91
300,37.65,-121.91
301,37.65,-121.91
302,37.65,-121.91
303,37.65,-121.91
304,37.65,-121.91
305,37.65,-121.91
306,37.65,-121.91
307,37.65,-121.91
308,37.65,-121.91
309,37.65,-121.91
310,37.65,-121.91
311,37.65,-121.91
312,37.65,-121.91
313,37.65,-121.91
314,37.65,-121.91
315,37.65,-121.91
316,37.65,-121.91
317,37.65,-121.91
318,37.65,-121.91
319,37.65,-121.91
320,37.65,-121.91
321,37.65,-121.91
322,37.65,-121.91
323,37.65,-121.91
324,37.65,-121.91
325,37.65,-121.91
326,37.65,-121.91
327,37.65,-121.91
328,37.65,-121.91
329,37.65,-121.91
330,37.65,-121.91
331,37.65,-121.91
332,37.65,-121.91
333,37.65,-121.91
334,37.65,-121.91
335,37.65,-121.91
336,37.65,-121.91
337,37.65,-121.91
338,37.65,-121.91
339,37.65,-121.91
340,37.65,-121.91
341,37.65,-121.91
342,37.65,-121.91
343,37.65,-121.91
344,37.65,-121.91
345,37.65,-121.91
346,37.65,-121.91
347,37.65,-121.91
348,37.65,-121.91
349,37.65,-121.91
350,37.65,-121.91
351,37.65,-121.91
352,37.65,-121.91
353,37.65,-121.91
354,37.65,-121.91
355,37.65,-121.91
356,37.65,-121.91
357,37.65,-121.91
358,37.65,-121.91
359,37.65,-121.91
360,37.65,-121.91
361,37.65,-121.91
362,37.65,-121.91
363,37.65,-121.91
364,37.65,-121.91
365,37.65,-121.91
366,37.65,-121.91
367,37.65,-121.91
368,37.65,-121.91
369,37.65,-121.91
370,37.65,-121.91
371,37.65,-121.91
372,37.65,-121.91
373,37.65,-121.91
374,37.65,-121.91
375,37.65,-121.91
376,37.65,-121.91
377,37.65,-121.91
378,37.65,-121.91
379,37.65,-121.91
380,37.65,-121.91
381,37.65,-121.91
382,37.65,-121.91
383,37.65,-121.91
384,37.65,-121.91
385,37.65,-121.91
386,37.65,-121.91
387,37.65,-121.91
388,37.65,-121.91
389,37.65,-121.91
390,37.65,-121.91
391,37.65,-121.91
392,37.65,-121.91
393,37.65,-121.91
394,37.65,-121.91
395,37.65,-121.91
396,37.65,-121.91
397,37.65,-121.91
398,37.65,-121.91
399,37.65,-121.91
400,37.65,-121.91
401,37.65,-121.91
402,37.65,-121.91
403,37.65,-121.91
404,37.65,-121.91
405,37.65,-121.91
406,37.65,-121.91
407,37.65,-121.91
408,37.65,-121.91
409,37.65,-121.91
410,37.65,-121.91
411,37.65,-121.91
412,37.65,-121.91
413,37.65,-121.91
414,37.65,-121.91
415,37.65,-121.91
416,37.65,-121.91
417,37.65,-121.91
418,37.65,-121.91
419,37.65,-121.91
420,37.65,-121.91
421,37.65,-121.91
422,37.65,-121.91
423,37.65,-121.91
424,37.65,-121.91
425,37.65,-121.91
426,37.65,-121.91
427,37.65,-121.91
428,37.65,-121.91
429,37.65,-121.91
430,37.65,-121.91
431,37.65,-121.91
432,37.65,-121.91
433,37.65,-121.91
434,37.65,-121.91
435,37.65,-121.91
436,37.65,-121.91
437,37.65,-121.91
438,37.65,-121.91
439,37.65,-121.91
440,37.65,-121.91
441,37.65,-121.91
442,37.65,-121.91
443,37.65,-121.91
444,37.65,-121.91
445,37.65,-121.91
446,37.65,-121.91
447,37.65,-121.91
448,37.65,-121.91
449,37.65,-121.91
450,37.65,-121.91
451,37.65,-121.91
452,37.65,-121.91
453,37.65,-121.91
454,37.65,-121.91
455,37.65,-121.91
456,37.65,-121.91
457,37.65,-121.91
458,37.65,-121.91
459,37.65,-121.91
460,37.65,-121.91
461,37.65,-121.91
462,37.65,-121.91
463,37.65,-121.91
464,37.65,-121.91
465,37.65,-121.91
466,37.65,-121.91
467,37.65,-121.91
468,37.65,-121.91
469,37.65,-121.91
470,37.65,-121.91
471,37.65,-121.91
472,37.65,-121.91
473,37.65,-121.91
474,37.65,-121.91
475,37.65,-121.91
476,37.65,-121.91
477,37.65,-121.91
478,37.65,-121.91
479,37.65,-121.91
480,37.65,-121.91
481,37.65,-121.91
482,37.65,-121.91
483,37.65,-121.91
484,37.65,-121.91
485,37.65,-121.91
486,37.65,-121.91
487,37.65,-121.91
488,37.65,-121.91
489,37.65,-121.91
490,37.65,-121.91
491,37.65,-121.91
492,37.65,-121.91
493,37.65,-121.91
494,37.65,-121.91
495,37.65,-121.91
496,37.65,-121.91
497,37.65,-121.91
498,37.65,-121.91
499,37.65,-121.91
500,37.65,-121.91
501,37.65,-121.91
502,37.65,-121.91
503,37.65,-121.91
504,37.65,-121.91
505,37.65,-121.91
506,37.65,-121.91
507,37.65,-121.91
508,37.65,-121.91
509,37.65,-121.91
510,37.65,-121.91
511,37.65,-121.91
512,37.65,-121.91
513,37.65,-121.91
514,37.65,-121.91
515,37.65,-121.91
516,37.65,-121.91
517,37.65,-121.91
518,37.65,-121.91
519,37.65,-121.91
520,37.65,-121.91
521,37.65,-121.91
522,37.65,-121.91
523,37.65,-121.91
524,37.65,-121.91
525,37.65,-121.91
526,37.65,-121.91
527,37.65,-121.91
528,37.65,-121.91
529,37.65,-121.91
530,37.65,-121.91
531,37.65,-121.91
532,37.65,-121.91
533,37.65,-121.91
534,37.65,-121.91
535,37.65,-121.91
536,37.65,-121.91
537,37.65,-121.91
538,37.65,-121.91
539,37.65,-121.91
540,37.65,-121.91
541,37.65,-121.91
542,37.65,-121.91
543,37.65,-121.91
544,37.65,-121.91
545,37.65,-121.91
546,37.65,-121.91
547,37.65,-121.91
548,37.65,-121.91
549,37.65,-121.91
550,37.65,-121.91
551,37.65,-121.91
552,37.65,-121.91
553,37.65,-121.91
554,37.65,-121.91
555,37.65,-121.91
556,37.65,-121.91
557,37.65,-121.91
558,37.65,-121.91
559,37.65,-121.91
560,37.65,-121.91
561,37.65,-121.91
562,37.65,-121.91
563,37.65,-121.91
564,37.65,-121.91
565,37.65,-121.91
566,37.65,-121.91
567,37.65,-121.91
568,37.65,-121.91
569,37.65,-121.91
570,37.65,-121.91
571,37.65,-121.91
572,37.65,-121.91
573,37.65,-121.91
574,37.65,-121.91
575,37.65,-121.91
576,37.65,-121.91
577,37.65,-121.91
578,37.65,-121.91
579,37.65,-121.91
580,37.65,-121.91
581,37.65,-121.91
582,37.65,-121.91
583,37.65,-121.91
584,37.65,-121.91
585,37.65,-121.91
586,37.65,-121.91
587,37.65,-121.91
588,37.65,-121.91
589,37.65,-121.91
590,38.58,-119.8
591,38.58,-119.8
592,38.58,-119.8
593,38.58,-119.8
594,38.58,-119.8
595,38.58,-119.8
596,38.58,-119.8
597,38.58,-119.8
598,38.58,-119.8
599,38.58,-119.8
600,38.58,-119.8
601,38.58,-119.8
602,38.58,-119.8
603,38.58,-119.8
604,38.58,-119.8
605,38.58,-119.8
606,38.58,-119.8
607,38.58,-119.8
608,38.58,-119.8
609,38.58,-119.8
610,38.58,-119.8
611,38.58,-119.8
612,38.58,-119.8
613,38.58,-119.8
614,38.58,-119.8
615,38.58,-119.8
616,38.58,-119.8
617,38.58,-119.8
618,38.58,-119.8
